,NPPES Provider ZIP Code,NPPES Provider State,total_claims,opioid_claims,extended_release_opioid_claims,zipcode,county
8115,8879,NJ,33030,2671,13,08879,['Middlesex County']
8116,99337,WA,33124,2200,97,99337,['Benton County']
8117,1562,MA,145211,5760,360,01562,['Worcester County']
8118,6070,CT,19494,736,0,06070,['Hartford County']
8119,5855,VT,157733,7484,203,05855,['Orleans County']
8120,37748,TN,396016,28910,934,37748,['Roane County']
8121,49749,MI,57275,3139,54,49749,['Cheboygan County']
8122,17921,PA,98807,4468,26,17921,['Schuylkill County']
8123,45213,OH,8984,398,0,45213,['Hamilton County']
8124,28405,NC,188043,12449,190,28405,['New Hanover County']
8125,75964,TX,6174,259,0,75964,['Nacogdoches County']
8126,84601,UT,18923,1386,0,84601,['Utah County']
8127,75654,TX,13065,735,0,75654,['Rusk County']
8128,74354,OK,266134,18376,284,74354,['Ottawa County']
8129,37664,TN,50749,4055,39,37664,['Sullivan County']
8130,76528,TX,102661,8706,691,76528,['Coryell County']
8131,48158,MI,13308,857,33,48158,['Washtenaw County']
8132,4043,ME,146373,13730,1482,04043,['York County']
8133,78749,TX,47089,7296,684,78749,['Travis County']
8134,56065,MN,13492,408,0,56065,['Blue Earth County']
8135,97007,OR,18086,1448,104,97007,['Washington County']
8136,50248,IA,39192,4167,35,50248,['Story County']
8137,13309,NY,21651,1303,26,13309,['Oneida County']
8138,98021,WA,56524,3932,252,98021,['Snohomish County']
8139,40484,KY,141275,11505,407,40484,['Lincoln County']
8140,43025,OH,962,254,0,43025,['Licking County']
8141,99006,WA,99434,8870,352,99006,['Spokane County']
8142,33327,FL,1540,326,0,33327,['Broward County']
8143,37363,TN,204283,10913,119,37363,['Hamilton County']
8144,38261,TN,319966,22237,1328,38261,['Obion County']
8145,94539,CA,59709,1718,0,94539,['Alameda County']
8146,14103,NY,168752,8498,404,14103,['Orleans County']
8147,61354,IL,163003,10173,106,61354,['LaSalle County']
8148,46613,IN,25797,1303,18,46613,['St. Joseph County']
8149,11223,NY,746551,18696,280,11223,['Kings County']
8150,2453,MA,107711,3730,33,02453,['Middlesex County']
8151,74106,OK,65826,6303,110,74106,['Tulsa County']
8152,2141,MA,21989,1555,110,02141,['Middlesex County']
8153,54923,WI,93912,5548,25,54923,['Green Lake County']
8154,78602,TX,207471,8588,37,78602,['Bastrop County']
8155,14011,NY,33801,1581,14,14011,['Wyoming County']
8156,10036,NY,61067,3531,199,10036,['New York County']
8157,21054,MD,34633,3763,33,21054,['Anne Arundel County']
8158,37218,TN,29063,1440,0,37218,['Davidson County']
8159,29927,SC,16916,2910,13,29927,['Jasper County']
8160,73542,OK,46039,3750,47,73542,['Tillman County']
8161,66743,KS,57634,2641,13,66743,['Crawford County']
8162,95351,CA,209128,19050,836,95351,['Stanislaus County']
8163,14302,NY,21355,1080,13,14302,[None]
